stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening D:\Projects\MyOldProjects\BingoReboot\build\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.13736] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13738] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13740] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13742] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13744] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13746] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13748] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13753] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13756] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13759] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13762] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13765] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13768] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13771] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13774] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13777] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13780] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13783] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13787] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13790] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13791] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13793] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13795] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13798] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.13800] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13802] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.13804] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13806] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.13808] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13811] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.13814] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13817] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.13819] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13822] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.13824] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13827] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.13829] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13832] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.13835] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13838] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.13839] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13842] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.13843] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13845] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.13847] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13849] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.13850] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13852] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.13854] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13856] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.13858] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13860] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.13861] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13864] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.13866] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13868] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.13869] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13871] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.13873] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13875] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.13877] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13879] Score is : 589
